,Gestational_Age,State,Race,month_care_began,num_births
395,2.0,42.0,3,5.0,26.0
396,2.0,42.0,3,6.0,14.0
397,2.0,42.0,3,99.0,65.0
398,2.0,44.0,2,98.0,10.0
399,2.0,44.0,3,98.0,54.0
400,2.0,45.0,2,0.0,20.0
401,2.0,45.0,2,1.0,18.0
402,2.0,45.0,2,2.0,81.0
403,2.0,45.0,2,3.0,78.0
404,2.0,45.0,2,4.0,36.0
405,2.0,45.0,2,5.0,19.0
406,2.0,45.0,3,0.0,16.0
407,2.0,45.0,3,1.0,11.0
408,2.0,45.0,3,2.0,54.0
409,2.0,45.0,3,3.0,65.0
410,2.0,45.0,3,4.0,25.0
411,2.0,45.0,3,5.0,12.0
412,2.0,46.0,3,2.0,18.0
413,2.0,47.0,2,0.0,30.0
414,2.0,47.0,2,1.0,31.0
415,2.0,47.0,2,2.0,60.0
416,2.0,47.0,2,3.0,40.0
417,2.0,47.0,2,4.0,16.0
418,2.0,47.0,2,99.0,44.0
419,2.0,47.0,3,0.0,14.0
420,2.0,47.0,3,1.0,40.0
421,2.0,47.0,3,2.0,98.0
422,2.0,47.0,3,3.0,82.0
423,2.0,47.0,3,4.0,27.0
424,2.0,47.0,3,5.0,15.0
425,2.0,47.0,3,99.0,55.0
426,2.0,48.0,1,0.0,12.0
427,2.0,48.0,1,1.0,16.0
428,2.0,48.0,1,2.0,32.0
429,2.0,48.0,1,3.0,31.0
430,2.0,48.0,1,4.0,13.0
431,2.0,48.0,1,99.0,10.0
432,2.0,48.0,2,0.0,121.0
433,2.0,48.0,2,1.0,73.0
434,2.0,48.0,2,2.0,167.0
435,2.0,48.0,2,3.0,163.0
436,2.0,48.0,2,4.0,78.0
437,2.0,48.0,2,5.0,49.0
438,2.0,48.0,2,6.0,23.0
439,2.0,48.0,2,99.0,60.0
440,2.0,48.0,3,0.0,234.0
441,2.0,48.0,3,1.0,209.0
442,2.0,48.0,3,2.0,527.0
443,2.0,48.0,3,3.0,402.0
444,2.0,48.0,3,4.0,177.0
445,2.0,48.0,3,5.0,103.0
446,2.0,48.0,3,6.0,47.0
447,2.0,48.0,3,7.0,27.0
448,2.0,48.0,3,99.0,159.0
449,2.0,49.0,3,1.0,11.0
450,2.0,49.0,3,2.0,90.0
451,2.0,49.0,3,3.0,72.0
452,2.0,49.0,3,4.0,15.0
453,2.0,49.0,3,5.0,11.0
454,2.0,50.0,3,3.0,11.0
455,2.0,51.0,1,1.0,10.0
456,2.0,51.0,1,2.0,10.0
457,2.0,51.0,2,0.0,20.0
458,2.0,51.0,2,1.0,34.0
459,2.0,51.0,2,2.0,79.0
460,2.0,51.0,2,3.0,47.0
461,2.0,51.0,2,4.0,19.0
462,2.0,51.0,2,5.0,13.0
463,2.0,51.0,2,99.0,107.0
464,2.0,51.0,3,0.0,11.0
465,2.0,51.0,3,1.0,50.0
466,2.0,51.0,3,2.0,82.0
467,2.0,51.0,3,3.0,52.0
468,2.0,51.0,3,4.0,19.0
469,2.0,51.0,3,99.0,115.0
470,2.0,53.0,1,2.0,17.0
471,2.0,53.0,1,3.0,16.0
472,2.0,53.0,1,99.0,10.0
473,2.0,53.0,2,2.0,15.0
474,2.0,53.0,2,3.0,12.0
475,2.0,53.0,3,0.0,17.0
476,2.0,53.0,3,1.0,19.0
477,2.0,53.0,3,2.0,102.0
478,2.0,53.0,3,3.0,77.0
479,2.0,53.0,3,4.0,29.0
480,2.0,53.0,3,5.0,16.0
481,2.0,53.0,3,99.0,46.0
482,2.0,54.0,3,1.0,10.0
483,2.0,54.0,3,2.0,39.0
484,2.0,54.0,3,3.0,32.0
485,2.0,54.0,3,5.0,12.0
486,2.0,55.0,2,2.0,24.0
487,2.0,55.0,2,3.0,21.0
488,2.0,55.0,2,99.0,23.0
489,2.0,55.0,3,0.0,11.0
490,2.0,55.0,3,2.0,118.0
491,2.0,55.0,3,3.0,98.0
492,2.0,55.0,3,4.0,16.0
493,2.0,55.0,3,5.0,11.0
494,2.0,55.0,3,99.0,32.0
495,2.0,56.0,3,2.0,10.0
496,3.0,1.0,1,2.0,10.0
497,3.0,1.0,2,0.0,20.0
498,3.0,1.0,2,1.0,39.0
499,3.0,1.0,2,2.0,130.0
500,3.0,1.0,2,3.0,140.0
501,3.0,1.0,2,4.0,59.0
502,3.0,1.0,2,5.0,53.0
503,3.0,1.0,2,6.0,36.0
504,3.0,1.0,2,7.0,12.0
505,3.0,1.0,2,8.0,10.0
506,3.0,1.0,3,0.0,23.0
507,3.0,1.0,3,1.0,54.0
508,3.0,1.0,3,2.0,175.0
509,3.0,1.0,3,3.0,121.0
510,3.0,1.0,3,4.0,73.0
511,3.0,1.0,3,5.0,47.0
512,3.0,1.0,3,6.0,28.0
513,3.0,1.0,3,7.0,17.0
514,3.0,2.0,3,2.0,16.0
515,3.0,2.0,3,3.0,18.0
516,3.0,4.0,0,2.0,13.0
517,3.0,4.0,0,3.0,12.0
518,3.0,4.0,0,4.0,10.0
519,3.0,4.0,0,5.0,14.0
520,3.0,4.0,1,2.0,15.0
521,3.0,4.0,2,1.0,10.0
522,3.0,4.0,2,2.0,24.0
523,3.0,4.0,2,3.0,12.0
524,3.0,4.0,3,0.0,51.0
525,3.0,4.0,3,1.0,75.0
526,3.0,4.0,3,2.0,267.0
527,3.0,4.0,3,3.0,200.0
528,3.0,4.0,3,4.0,73.0
529,3.0,4.0,3,5.0,54.0
530,3.0,4.0,3,6.0,40.0
531,3.0,4.0,3,7.0,20.0
532,3.0,4.0,3,8.0,13.0
533,3.0,4.0,3,99.0,15.0
534,3.0,5.0,2,0.0,11.0
535,3.0,5.0,2,2.0,19.0
536,3.0,5.0,2,3.0,27.0
537,3.0,5.0,2,4.0,18.0
538,3.0,5.0,2,5.0,16.0
539,3.0,5.0,2,99.0,31.0
540,3.0,5.0,3,0.0,11.0
541,3.0,5.0,3,1.0,16.0
542,3.0,5.0,3,2.0,66.0
543,3.0,5.0,3,3.0,43.0
544,3.0,5.0,3,4.0,33.0
545,3.0,5.0,3,5.0,23.0
546,3.0,5.0,3,6.0,21.0
547,3.0,5.0,3,7.0,10.0
548,3.0,5.0,3,99.0,53.0
549,3.0,6.0,0,2.0,15.0
550,3.0,6.0,1,1.0,87.0
551,3.0,6.0,1,2.0,280.0
552,3.0,6.0,1,3.0,115.0
553,3.0,6.0,1,4.0,36.0
554,3.0,6.0,1,5.0,12.0
555,3.0,6.0,1,6.0,12.0
556,3.0,6.0,1,99.0,13.0
557,3.0,6.0,2,0.0,15.0
558,3.0,6.0,2,1.0,72.0
559,3.0,6.0,2,2.0,208.0
560,3.0,6.0,2,3.0,62.0
561,3.0,6.0,2,4.0,39.0
562,3.0,6.0,2,5.0,20.0
563,3.0,6.0,2,6.0,12.0
564,3.0,6.0,2,99.0,17.0
565,3.0,6.0,3,0.0,93.0
566,3.0,6.0,3,1.0,483.0
567,3.0,6.0,3,2.0,1287.0
568,3.0,6.0,3,3.0,510.0
569,3.0,6.0,3,4.0,186.0
570,3.0,6.0,3,5.0,101.0
571,3.0,6.0,3,6.0,54.0
572,3.0,6.0,3,7.0,49.0
573,3.0,6.0,3,8.0,11.0
574,3.0,6.0,3,99.0,80.0
575,3.0,8.0,1,2.0,12.0
576,3.0,8.0,2,2.0,12.0
577,3.0,8.0,2,3.0,21.0
578,3.0,8.0,2,4.0,12.0
579,3.0,8.0,3,0.0,42.0
580,3.0,8.0,3,1.0,17.0
581,3.0,8.0,3,2.0,153.0
582,3.0,8.0,3,3.0,177.0
583,3.0,8.0,3,4.0,58.0
584,3.0,8.0,3,5.0,44.0
585,3.0,8.0,3,6.0,28.0
586,3.0,8.0,3,7.0,18.0
587,3.0,8.0,3,99.0,20.0
588,3.0,9.0,1,98.0,14.0
589,3.0,9.0,2,98.0,76.0
590,3.0,9.0,3,98.0,278.0
591,3.0,10.0,2,2.0,25.0
592,3.0,10.0,2,3.0,16.0
593,3.0,10.0,2,4.0,10.0
594,3.0,10.0,3,2.0,36.0
595,3.0,10.0,3,3.0,20.0
596,3.0,10.0,3,4.0,15.0
597,3.0,10.0,3,5.0,11.0
598,3.0,11.0,2,0.0,10.0
599,3.0,11.0,2,2.0,19.0
600,3.0,11.0,2,3.0,16.0
601,3.0,11.0,2,4.0,16.0
602,3.0,11.0,2,99.0,30.0
603,3.0,11.0,3,2.0,12.0
604,3.0,12.0,1,1.0,11.0
605,3.0,12.0,1,2.0,25.0
606,3.0,12.0,1,3.0,23.0
607,3.0,12.0,1,4.0,14.0
608,3.0,12.0,2,0.0,56.0
609,3.0,12.0,2,1.0,139.0
610,3.0,12.0,2,2.0,255.0
611,3.0,12.0,2,3.0,268.0
612,3.0,12.0,2,4.0,170.0
613,3.0,12.0,2,5.0,89.0
614,3.0,12.0,2,6.0,79.0
615,3.0,12.0,2,7.0,30.0
616,3.0,12.0,2,8.0,10.0
617,3.0,12.0,2,99.0,86.0
618,3.0,12.0,3,0.0,70.0
619,3.0,12.0,3,1.0,216.0
620,3.0,12.0,3,2.0,536.0
621,3.0,12.0,3,3.0,420.0
622,3.0,12.0,3,4.0,209.0
623,3.0,12.0,3,5.0,141.0
624,3.0,12.0,3,6.0,80.0
625,3.0,12.0,3,7.0,36.0
626,3.0,12.0,3,8.0,17.0
627,3.0,12.0,3,99.0,144.0
628,3.0,13.0,1,2.0,20.0
629,3.0,13.0,1,99.0,12.0
630,3.0,13.0,2,0.0,68.0
631,3.0,13.0,2,1.0,113.0
632,3.0,13.0,2,2.0,188.0
633,3.0,13.0,2,3.0,151.0
634,3.0,13.0,2,4.0,111.0
635,3.0,13.0,2,5.0,75.0
636,3.0,13.0,2,6.0,46.0
637,3.0,13.0,2,7.0,28.0
638,3.0,13.0,2,8.0,10.0
639,3.0,13.0,2,99.0,173.0
640,3.0,13.0,3,0.0,32.0
641,3.0,13.0,3,1.0,82.0
642,3.0,13.0,3,2.0,217.0
643,3.0,13.0,3,3.0,150.0
644,3.0,13.0,3,4.0,54.0
645,3.0,13.0,3,5.0,37.0
646,3.0,13.0,3,6.0,18.0
647,3.0,13.0,3,7.0,18.0
648,3.0,13.0,3,8.0,10.0
649,3.0,13.0,3,99.0,155.0
650,3.0,15.0,1,2.0,45.0
651,3.0,15.0,1,3.0,31.0
652,3.0,15.0,1,4.0,18.0
653,3.0,15.0,1,5.0,21.0
654,3.0,15.0,1,99.0,18.0
655,3.0,15.0,3,2.0,19.0
656,3.0,15.0,3,3.0,11.0
657,3.0,16.0,3,2.0,54.0
658,3.0,16.0,3,3.0,55.0
659,3.0,16.0,3,4.0,24.0
660,3.0,16.0,3,5.0,17.0
661,3.0,16.0,3,6.0,12.0
662,3.0,17.0,1,1.0,12.0
663,3.0,17.0,1,2.0,47.0
664,3.0,17.0,1,3.0,21.0
665,3.0,17.0,1,99.0,12.0
666,3.0,17.0,2,0.0,41.0
667,3.0,17.0,2,1.0,60.0
668,3.0,17.0,2,2.0,151.0
669,3.0,17.0,2,3.0,108.0
670,3.0,17.0,2,4.0,75.0
671,3.0,17.0,2,5.0,55.0
672,3.0,17.0,2,6.0,44.0
673,3.0,17.0,2,7.0,21.0
674,3.0,17.0,2,99.0,37.0
675,3.0,17.0,3,0.0,32.0
676,3.0,17.0,3,1.0,138.0
677,3.0,17.0,3,2.0,424.0
678,3.0,17.0,3,3.0,376.0
679,3.0,17.0,3,4.0,137.0
680,3.0,17.0,3,5.0,79.0
681,3.0,17.0,3,6.0,44.0
682,3.0,17.0,3,7.0,27.0
683,3.0,17.0,3,99.0,83.0
684,3.0,18.0,2,1.0,17.0
685,3.0,18.0,2,2.0,56.0
686,3.0,18.0,2,3.0,42.0
687,3.0,18.0,2,4.0,22.0
688,3.0,18.0,2,5.0,22.0
689,3.0,18.0,2,6.0,14.0
690,3.0,18.0,3,0.0,43.0
691,3.0,18.0,3,1.0,53.0
692,3.0,18.0,3,2.0,203.0
693,3.0,18.0,3,3.0,207.0
694,3.0,18.0,3,4.0,77.0
